1     	16.1311	0.5762	99.9995	9019	1	0.0061	0	-0.9891	0.1681	12.6379	1	0	0	1	1	94.1400
2     	15.2872	-0.4984	99.6287	9019	1	0.0109	0	0.8773	-0.0378	9.6886	1	0	0	1	1	94.1400
4     	15.1492	0.1539	99.6455	9019	1	0.0138	0	0.6829	0.1496	9.0696	1	0	0	1	1	94.1400
6     	16.7141	0.0775	100.2460	9019	1	0.0027	0	1.1107	0.1513	10.0859	1	0	0	1	1	94.1400
7     	15.7843	-0.6871	99.3778	6000	1	0.0184	0	1.1146	-0.0624	9.9763	1	0	0	1	1	94.1400
8     	16.4727	-0.2370	99.2529	9019	1	0.0077	0	-0.3169	1.0338	11.1937	1	0	0	1	1	94.1400
9     	16.0458	0.2309	100.4967	6000	1	0.0000	0	-0.3174	0.9819	18.7407	1	0	0	1	1	94.1400
10    	16.1720	-0.6438	100.3324	9019	1	0.0126	0	0.2580	0.0198	7.1212	1	0	0	1	1	94.1400
10	16.1720	-0.6438	100.3324	9019	1	0.0038	0	0.4858	1.0613	7.4844	1	1	0	1	1	94.1400
10	16.1720	-0.6438	100.3324	9019	1	0.0067	0	0.4974	1.0657	7.5041	1	2	0	1	1	94.1400
12    	15.5859	0.5800	100.2224	9019	1	0.0006	0	1.1100	0.3867	9.3779	1	0	0	1	1	94.1400
12	15.5859	0.5800	100.2224	9019	1	0.0036	0	0.2706	1.1280	8.7383	1	1	0	1	1	94.1400
12	15.5859	0.5800	100.2224	6000	1	0.0000	0	-0.0425	0.5889	8.5326	1	2	0	1	1	94.1400
14    	16.3117	0.9129	100.0863	9019	1	0.0093	0	1.0334	0.0134	10.3617	1	0	0	1	1	94.1400
15    	15.5252	0.5400	100.4818	9019	1	0.0180	0	-0.1522	-0.5351	11.3465	1	0	0	1	1	94.1400
15	15.5252	0.5400	100.4818	9019	1	0.0083	0	0.0152	-0.4385	11.2184	1	1	0	1	1	94.1400
16    	15.2933	-0.2872	100.4427	9019	1	0.0113	0	-0.1549	-0.2938	10.2207	1	0	0	1	1	94.1400
16	15.2933	-0.2872	100.4427	9019	1	0.0051	0	0.1009	1.0378	11.2586	1	1	0	1	1	94.1400
17    	16.0114	-0.2775	99.5469	9019	1	0.0049	0	0.3177	0.3570	9.6145	1	0	0	1	1	94.1400
19    	15.9514	0.5859	99.4432	9019	1	0.0138	0	0.9407	-0.2801	9.4397	1	0	0	1	1	94.1400
19	15.9514	0.5859	99.4432	9019	1	0.0000	0	-1.0346	-0.1134	2.2636	1	1	0	1	1	94.1400
20    	15.4251	-0.1212	100.0998	9019	1	0.0074	0	0.9160	0.4511	10.8827	1	0	0	1	1	94.1400
20	15.4251	-0.1212	100.0998	9019	1	0.0033	0	1.1057	-0.2905	11.7687	1	1	0	1	1	94.1400
21    	16.6351	-0.4228	99.7811	9019	1	0.0094	0	1.0735	-0.0638	9.6831	1	0	0	1	1	94.1400
21	16.6351	-0.4228	99.7811	9019	1	0.0049	0	0.4445	0.2348	10.8834	1	1	0	1	1	94.1400
21	16.6351	-0.4228	99.7811	9019	1	0.0038	0	0.2204	0.1167	16.5203	1	2	0	1	1	94.1400
22    	15.7239	-0.4319	99.8771	9019	1	0.0180	0	0.7860	-0.2139	9.5626	1	0	0	1	1	94.1400
23    	15.6712	-0.7823	99.6410	9019	1	0.0179	0	1.0938	0.1955	9.9067	1	0	0	1	1	94.1400
